"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 13 23:47:30 CST 2023","Thu Jul 13 23:47:30 CST 2023","189","testcase","test_search_api","","","","test_search",""
"passed","Sun Jun 04 14:42:52 CST 2023","Sun Jun 04 14:43:01 CST 2023","8914","testcase","test_search","","","","test_search[d2]",""
"passed","Sun Jun 04 14:41:55 CST 2023","Sun Jun 04 14:42:07 CST 2023","12405","testcase","test_search","","","","test_search[d0]",""
"passed","Sun Jun 04 14:42:25 CST 2023","Sun Jun 04 14:42:35 CST 2023","10113","testcase","test_search","","","","test_search[d1]",""
"passed","Sun Jun 04 14:41:05 CST 2023","Sun Jun 04 14:41:38 CST 2023","32938","testcase","test_goto_page","","","","test_swipe",""
"passed","Thu Jul 13 23:47:31 CST 2023","Thu Jul 13 23:47:31 CST 2023","107","testcase","test_user_api","","","","test_user_order",""
"skipped","Sun Jun 04 14:40:46 CST 2023","Sun Jun 04 14:40:46 CST 2023","0","testcase","test_goto_page","","","","test_skip",""
"passed","Thu Jul 13 23:47:31 CST 2023","Thu Jul 13 23:47:31 CST 2023","248","testcase","test_user_api","","","","test_user_login",""
"skipped","Sat Jun 03 19:21:38 CST 2023","Sat Jun 03 19:21:38 CST 2023","0","testcase","test_add","","","","test_add_exc[d1]",""
"failed","Thu Jul 13 23:47:31 CST 2023","Thu Jul 13 23:47:31 CST 2023","0","testcase","test_user_api","","","","test_user_info",""
"skipped","Sat Jun 03 19:21:38 CST 2023","Sat Jun 03 19:21:38 CST 2023","0","testcase","test_add","","","","test_add_exc[d0]",""
